"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"71328","607461","Matt Beaty",28,"LAD","1.0","109","16",120,234,204,35,7,40,2,".270",".363",".402",".765",".132","18.8","8.5","2.2","19.1"
"102578","641553","Adam Engel",29,"CWS","1.0","104","19",39,140,123,21,7,18,7,".252",".336",".496",".832",".244","22.1","7.9","2.8","27.1"
"110012","628450","Yadiel Hernandez",33,"WSH","1.0","99","15",112,289,264,33,9,32,3,".273",".329",".413",".742",".140","20.4","7.6","2.7","28.2"
"104261","650559","Bryan De La Cruz",24,"MIA","1.0","99","16",58,219,199,17,5,19,1,".296",".356",".427",".783",".131","24.2","8.2","2.9","25.2"
"51611","500743","Miguel Rojas",32,"MIA","1.0","96","10",132,539,495,66,9,48,13,".265",".322",".392",".714",".127","13.7","6.9","2.0","19.3"
"60408","545341","Randal Grichuk",29,"TOR","1.0","94","12",149,545,511,59,22,81,"0",".241",".281",".423",".703",".182","20.9","5.0","4.2","23.2"
"69270","596059","Rougned Odor",27,"NYY","1.0","84","13",102,361,322,42,15,39,"0",".202",".286",".379",".665",".177","27.7","7.5","3.7","28.7"
"103405","643376","Danny Jansen",26,"TOR","1.0","105","17",70,205,184,32,11,28,"0",".223",".299",".473",".772",".250","21.5","8.3","2.6","25.3"
"66883","591720","Ronald Torreyes",28,"PHI","0.9","95","12",111,344,318,30,7,41,2,".242",".286",".346",".632",".104","11.9","5.5","2.2","14.0"
"47625","444876","Alcides Escobar",34,"WSH","0.9","95","13",75,349,319,53,4,28,3,".288",".340",".404",".744",".116","16.0","4.9","3.3","22.0"
"69440","602074","Yonathan Daza",27,"COL","0.9","89","11",107,331,301,26,2,30,2,".282",".332",".355",".688",".073","18.1","6.3","2.9","19.9"
"69513","605131","Austin Barnes",31,"LAD","0.9","86","16",77,225,200,28,6,23,1,".215",".299",".345",".644",".130","24.9","8.9","2.8","26.9"
"70397","595978","Austin Hedges",28,"CLE","0.9","69","13",88,312,286,32,10,31,1,".178",".220",".308",".527",".129","27.9","4.8","5.8","29.8"
"105633","664913","Seth Brown",28,"OAK","0.9","100","18",111,307,281,43,20,48,4,".214",".274",".480",".754",".267","29.0","7.5","3.9","32.4"
"101568","623993","Anthony Santander",26,"BAL","0.9","96","13",110,438,406,54,18,50,1,".241",".286",".433",".720",".192","23.1","5.3","4.4","25.2"
"110857","656976","Pavin Smith",25,"ARI","0.9","92","11",145,545,498,68,11,49,1,".267",".328",".404",".732",".137","19.4","7.7","2.5","17.2"
"71054","543592","Austin Nola",31,"SD","0.9","108","13",56,194,173,15,2,29,"0",".272",".340",".376",".716",".104","9.8","7.2","1.4","12.2"
"57988","543333","Eric Hosmer",31,"SD","0.9","98","11",151,565,509,53,12,65,5,".269",".337",".395",".732",".126","17.5","8.5","2.1","22.8"
"69564","605412","Joe Panik",30,,"0.9","91","9",95,257,236,17,3,18,2,".208",".266",".284",".550",".076","13.2","6.6","2.0","14.4"
"106121","663647","Ke'Bryan Hayes",24,"PIT","0.9","86","12",96,396,362,49,6,38,9,".257",".316",".373",".689",".116","22.0","7.8","2.8","20.5"
"107920","641658","Garrett Hampson",26,"COL","0.9","81","12",147,494,453,69,11,33,17,".234",".289",".380",".669",".146","23.9","6.7","3.6","24.3"
