last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Yastrzemski, Mike,573262,2021,532,341,.224,.217,0.007,.457,.420,0.037,.326,.314,0.012
Bohm, Alec,664761,2021,417,273,.247,.260,-0.013,.342,.389,-0.047,.285,.313,-0.028
Torrens, Luis,620443,2021,378,250,.243,.240,0.003,.431,.418,0.013,.311,.313,-0.002
Zimmer, Bradley,605548,2021,348,181,.227,.219,0.008,.344,.361,-0.017,.300,.313,-0.013
Polanco, Gregory,570256,2021,382,240,.208,.228,-0.020,.354,.400,-0.046,.275,.313,-0.038
Mercedes, Yermín,606213,2021,262,195,.271,.245,0.026,.404,.411,-0.007,.317,.312,0.005
Taylor, Tyrone,621438,2021,271,185,.247,.236,0.011,.457,.394,0.063,.333,.312,0.021
Walker, Christian,572233,2021,445,297,.244,.248,-0.004,.382,.384,-0.002,.304,.312,-0.008
Evans, Phillip,595943,2021,247,161,.206,.241,-0.035,.299,.342,-0.043,.278,.312,-0.034
Espinal, Santiago,669289,2021,246,193,.311,.269,0.042,.405,.348,0.057,.344,.311,0.033
Flores, Wilmer,527038,2021,436,336,.262,.238,0.024,.447,.393,0.054,.337,.311,0.026
Moran, Colin,592567,2021,359,234,.258,.242,0.016,.390,.383,0.007,.318,.311,0.007
McCormick, Chas,676801,2021,320,187,.257,.222,0.035,.447,.418,0.029,.327,.311,0.016
Cabrera, Miguel,408234,2021,526,363,.256,.231,0.025,.386,.410,-0.024,.305,.311,-0.006
McNeil, Jeff,643446,2021,426,329,.251,.252,-0.001,.360,.378,-0.018,.301,.311,-0.010
DeJong, Paul,657557,2021,402,255,.197,.209,-0.012,.390,.408,-0.018,.293,.311,-0.018
Cain, Lorenzo,456715,2021,286,210,.257,.247,0.010,.401,.367,0.034,.319,.310,0.009
Arenado, Nolan,571448,2021,653,504,.255,.246,0.009,.494,.413,0.081,.336,.310,0.026
Bote, David,623520,2021,327,222,.199,.228,-0.029,.330,.389,-0.059,.268,.310,-0.042
Ortega, Rafael,542364,2021,330,228,.291,.249,0.042,.463,.373,0.090,.355,.309,0.046
Schoop, Jonathan,570731,2021,674,498,.278,.255,0.023,.435,.397,0.038,.324,.309,0.015
Rodgers, Brendan,663898,2021,415,305,.284,.250,0.034,.470,.407,0.063,.341,.308,0.033
Wong, Kolten,543939,2021,492,365,.272,.251,0.021,.447,.377,0.070,.337,.308,0.029
Severino, Pedro,600474,2021,419,275,.248,.247,0.001,.383,.394,-0.011,.299,.308,-0.009
Escobar, Alcides,444876,2021,349,267,.288,.268,0.020,.404,.358,0.046,.325,.307,0.018
Baddoo, Akil,668731,2021,461,294,.259,.224,0.035,.436,.394,0.042,.329,.307,0.022
Andrus, Elvis,462101,2021,541,423,.243,.271,-0.028,.320,.369,-0.049,.270,.307,-0.037
