last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Longoria, Evan,446334,2021,291,187,.261,.249,0.012,.482,.480,0.002,.352,.350,0.002
Conforto, Michael,624424,2021,479,304,.232,.251,-0.019,.384,.431,-0.047,.322,.350,-0.028
Zunino, Mike,572287,2021,375,202,.216,.216,0.000,.559,.523,0.036,.359,.350,0.009
Moncada, Yoán,660162,2021,616,365,.263,.255,0.008,.412,.412,0.000,.347,.348,-0.001
Polanco, Jorge,593871,2021,644,476,.269,.264,0.005,.503,.479,0.024,.349,.346,0.003
Abreu, José,547989,2021,659,433,.261,.249,0.012,.481,.447,0.034,.354,.346,0.008
Nimmo, Brandon,607043,2021,386,248,.292,.266,0.026,.437,.379,0.058,.369,.345,0.024
Wade Jr., LaMonte,664774,2021,381,254,.253,.254,-0.001,.482,.467,0.015,.343,.345,-0.002
Contreras, Willson,575929,2021,483,279,.237,.236,0.001,.438,.441,-0.003,.337,.345,-0.008
Hernández, Enrique,571771,2021,585,405,.250,.250,0.000,.449,.445,0.004,.338,.344,-0.006
Kepler, Max,596146,2021,490,334,.211,.251,-0.040,.413,.442,-0.029,.309,.344,-0.035
France, Ty,664034,2021,650,471,.291,.267,0.024,.445,.427,0.018,.353,.343,0.010
Mullins, Cedric,656775,2021,675,482,.291,.269,0.022,.518,.440,0.078,.371,.343,0.028
Kelly, Carson,608348,2021,359,235,.240,.250,-0.010,.411,.422,-0.011,.328,.343,-0.015
Cronenworth, Jake,630105,2021,643,483,.266,.276,-0.010,.460,.437,0.023,.338,.342,-0.004
Bryant, Kris,592178,2021,586,380,.265,.256,0.009,.481,.438,0.043,.356,.342,0.014
Rizzo, Anthony,519203,2021,576,414,.248,.256,-0.008,.440,.422,0.018,.339,.342,-0.003
Miller, Brad,543543,2021,377,219,.227,.244,-0.017,.453,.449,0.004,.331,.342,-0.011
Carpenter, Matt,572761,2021,249,131,.169,.224,-0.055,.275,.422,-0.147,.269,.342,-0.073
Marte, Starling,516782,2021,526,371,.310,.270,0.040,.458,.422,0.036,.364,.341,0.023
Urías, Ramón,602104,2021,296,186,.279,.266,0.013,.412,.416,-0.004,.341,.341,-0.000
Lindor, Francisco,596019,2021,524,365,.230,.249,-0.019,.412,.441,-0.029,.317,.341,-0.024
McCutchen, Andrew,457705,2021,574,357,.222,.235,-0.013,.444,.420,0.024,.335,.341,-0.006
Verdugo, Alex,657077,2021,604,453,.289,.283,0.006,.426,.439,-0.013,.334,.340,-0.006
Dalbec, Bobby,666915,2021,453,262,.240,.232,0.008,.494,.509,-0.015,.334,.340,-0.006
Choi, Ji-Man,596847,2021,305,171,.229,.232,-0.003,.411,.414,-0.003,.334,.340,-0.006
Mancini, Trey,641820,2021,616,414,.255,.264,-0.009,.432,.445,-0.013,.326,.339,-0.013
LeMahieu, DJ,518934,2021,679,508,.268,.279,-0.011,.362,.391,-0.029,.315,.338,-0.023
Naquin, Tyler,571980,2021,454,308,.270,.259,0.011,.477,.448,0.029,.345,.337,0.008
Gomes, Yan,543228,2021,375,272,.252,.276,-0.024,.421,.460,-0.039,.308,.337,-0.029
Lowrie, Jed,476704,2021,512,353,.245,.252,-0.007,.398,.450,-0.052,.311,.337,-0.026
Yelich, Christian,592885,2021,475,289,.248,.249,-0.001,.373,.382,-0.009,.325,.335,-0.010
Tellez, Rowdy,642133,2021,325,233,.242,.260,-0.018,.414,.459,-0.045,.306,.335,-0.029
Vogelbach, Daniel,596129,2021,258,158,.219,.235,-0.016,.381,.379,0.002,.325,.335,-0.010
Fraley, Jake,641584,2021,265,146,.210,.224,-0.014,.369,.354,0.015,.322,.335,-0.013
Arraez, Luis,650333,2021,479,386,.294,.291,0.003,.376,.403,-0.027,.321,.334,-0.013
Solano, Donovan,456781,2021,344,254,.280,.273,0.007,.404,.427,-0.023,.324,.334,-0.010
Slater, Austin,596103,2021,306,190,.241,.254,-0.013,.423,.435,-0.012,.321,.334,-0.013
Santana, Carlos,467793,2021,659,468,.214,.241,-0.027,.342,.414,-0.072,.294,.334,-0.040
Sánchez, Gary,596142,2021,440,262,.204,.226,-0.022,.423,.445,-0.022,.314,.334,-0.020
Gurriel Jr., Lourdes,666971,2021,541,405,.276,.267,0.009,.466,.450,0.016,.333,.333,-0.000
Story, Trevor,596115,2021,595,392,.251,.243,0.008,.471,.448,0.023,.341,.333,0.008
Laureano, Ramón,657656,2021,378,244,.246,.243,0.003,.443,.451,-0.008,.327,.333,-0.006
Dickerson, Alex,543105,2021,312,207,.233,.257,-0.024,.420,.437,-0.017,.313,.333,-0.020
Murphy, Sean,669221,2021,448,282,.216,.237,-0.021,.405,.433,-0.028,.309,.333,-0.024
Sánchez, Jesús,660821,2021,251,150,.251,.241,0.010,.489,.468,0.021,.339,.332,0.007
Grossman, Robbie,543257,2021,671,410,.239,.231,0.008,.415,.389,0.026,.337,.332,0.005
Canha, Mark,592192,2021,625,393,.231,.229,0.002,.387,.374,0.013,.333,.332,0.001
Harrison, Josh,543281,2021,558,433,.279,.276,0.003,.400,.415,-0.015,.324,.331,-0.007
Altuve, Jose,514888,2021,678,517,.278,.259,0.019,.489,.415,0.074,.357,.331,0.026
Bregman, Alex,608324,2021,400,299,.270,.258,0.012,.422,.409,0.013,.336,.331,0.005
Díaz, Yandy,650490,2021,541,384,.256,.251,0.005,.387,.392,-0.005,.325,.331,-0.006
Urías, Luis,649966,2021,570,378,.249,.239,0.010,.445,.420,0.025,.339,.331,0.008
Franco, Wander,677551,2021,308,245,.288,.276,0.012,.463,.403,0.060,.348,.330,0.018
Torres, Gleyber,650402,2021,516,361,.259,.261,-0.002,.366,.417,-0.051,.307,.330,-0.023
Benintendi, Andrew,643217,2021,538,403,.276,.258,0.018,.442,.446,-0.004,.328,.329,-0.001
Semien, Marcus,543760,2021,724,509,.265,.241,0.024,.538,.444,0.094,.368,.329,0.039
Aguilar, Jesús,542583,2021,510,363,.261,.259,0.002,.459,.448,0.011,.330,.329,0.001
