Game,Team,Stat,Data
360408127,SD,DP," 2 (Myers-Ramírez-Myers-Spangenberg, Spangenberg-Ramírez-Myers)"
360408127,COL,DP, 1 (Story-LeMahieu-Reynolds)
360408101,TB,DP, 2 (Forsythe-Miller-Morrison 2)
360408101,BAL,DP," 2 (Davis-Flaherty-Davis, Schoop-Machado-Davis)"
360408114,TOR,E," Goins (2, ground ball)"
360408114,TOR,Assists, Pillar (H. Ramírez at 2nd base)
360408117,PIT,E," Cervelli (2, throw); Freese 2 (2, ground ball 2)"
360408117,PIT,DP," 2 (Freese-Jaso, Freese-Harrison-Jaso)"
360408117,CIN,E," Cozart (1, throw); Suárez 2 (2, ground ball 2)"
360408117,CIN,DP, 1 (Cotham-Cozart-Votto)
360408115,STL,E," Gyorko 2 (2, throw, ground ball)"
360408115,STL,DP, 1 (Carpenter-Wong-Adams)
360408115,ATL,Assists, Markakis (Carpenter at 2nd base)
360408108,MIL,DP, 1 (Gennett-Villar-Carter)
360408107,MIN,E," Dozier (1, throw)"
360408107,KC,Assists, Gordon (Suzuki at 3rd base)
360408129,CHC,E," Hammel (1, throw)"
360408129,CHC,DP, 1 (Russell-Zobrist-Rizzo)
360408129,CHC,Assists, Fowler (Goldschmidt at 2nd base)
360408129,ARI,DP," 2 (Lamb-Segura-Goldschmidt, Goldschmidt-Castillo-Lamb-Castillo-Ahmed-Peralta-Ahmed-Peralta-Ahmed-Peralta)"
360408103,TEX,DP, 1 (Beltré-Odor-Moreland)
360408103,LAA,E," Pérez (1, throw)"
360408112,OAK,E," Lowrie 2 (2, ground ball 2)"
360408112,OAK,DP, 1 (Semien-Lowrie-Alonso)
360408112,SEA,E," Seager (2, ground ball); Canó (1, throw)"
360408112,SEA,DP, 2 (Canó-Marte-Lee 2)
360408126,LAD,DP, 1 (Turner-Seager-Gonzalez)
360408126,SF,DP, 1 (Belt-Crawford-Cain)
360409114,BOS,E," Sandoval (1, throw)"
360409114,TOR,E," Dickey (1, throw)"
360409114,TOR,PB, Thole 2
360409106,NYY,E," Gardner (1, bobble)"
360409106,NYY,DP, 1 (Sabathia-Castro-Teixeira)
360409106,DET,E," J.D. Martinez (2, line drive)"
360409106,DET,DP, 1 (Cabrera-Iglesias-Kensing)
360409117,PIT,E," Harrison (1, ground ball)"
360409117,PIT,DP, 1 (Harrison-Mercer-Jaso)
360409117,PIT,Assists, Marte (Votto at 3rd base)
360409117,CIN,E," Hamilton (1, throw)"
360409117,CIN,DP," 3 (Suárez-Votto, De Jesús-Votto, Votto-De Jesús)"
360409104,CLE,E," Uribe (2, ground ball); Davis (1, bobble); Anderson (1, throw)"
360409104,CHW,E," Lawrie (1, throw)"
360409104,CHW,DP, 1 (Abreu)
360409126,SF,E," Duffy (1, ground ball)"
360409108,HOU,Assists, Springer (Santana at 2nd base)
360409108,MIL,E," Lucroy (2, throw); Rivera (1, throw)"
360409108,MIL,DP," 2 (Gennett-Villar-Carter, Villar-Carter)"
360409115,STL,E," Díaz (2, throw); Carpenter (1, ground ball); Adams (1, ground ball)"
360409115,STL,DP," 2 (Díaz-Wong-Moss, Martínez-Díaz-Moss)"
360409115,ATL,E," Markakis (1, fly ball); Aybar (2, ground ball); García (1, ground ball)"
360409115,ATL,DP, 1 (Peterson-Aybar-Freeman)
360409115,ATL,PB, Pierzynski
360409121,NYM,DP, 1 (Walker-Cabrera-Duda)
360409107,MIN,E," Escobar 2 (2, throw, ground ball)"
360409127,SD,E," Spangenberg (2, ground ball)"
360409127,COL,E," Story (1, throw); Reynolds (1, throw)"
360409127,COL,DP, 2 (LeMahieu-Story-Reynolds 2)
360409129,ARI,E," Drury (1, ground ball)"
360409129,ARI,DP," 2 (Goldschmidt-Ahmed, Segura-Ahmed-Goldschmidt)"
360409103,TEX,DP," 3 (Beltré-Odor-Moreland 2, Odor-Andrus-Moreland)"
360409103,LAA,E," Escobar (3, throw); Giavotella (1, catch)"
360409103,LAA,DP, 1 (Giavotella-Simmons-Cron)
360409103,LAA,Assists, Gentry (Andrus at Home)
360409112,OAK,DP," 2 (Vogt-Semien, Semien-Lowrie-Alonso)"
360409112,SEA,Assists, Martín (Vogt at Home)
360410114,BOS,E," Pedroia (1, throw)"
360410114,BOS,DP," 3 (Wright-Pedroia-H. Ramírez 2, Shaw-Pedroia-H. Ramírez)"
360410114,BOS,PB, Swihart 2
360410114,TOR,DP, 1 (Barney-Goins-Encarnación)
360410114,TOR,Assists, Bautista (Pedroia at Home)
360410117,PIT,DP," 3 (Freese-Jaso, Harrison-Mercer-Jaso 2)"
360410117,PIT,Assists, Polanco (Duvall at 2nd base)
360410117,CIN,Assists, Duvall (Harrison at Home)
360410121,NYM,DP, 1 (Walker-Duda)
360410101,TB,DP," 2 (Miller-Longoria-Pearce, Miller-Forsythe-Pearce)"
360410101,BAL,E," Wieters (1, catchers interference)"
360410115,STL,E," Wong (3, ground ball)"
360410115,STL,DP, 1 (Wong-G. Garcia-Adams)
360410120,MIA,DP, 1 (Realmuto-Gordon)
360410120,WSH,DP," 2 (Espinosa-Murphy-Robinson, Murphy-Espinosa-Robinson)"
400836044,TB,DP," 2 (Miller-Longoria-Pearce , Miller-Forsythe-Pearce)"
400836044,BAL,E," Wieters (1, catcher's interference)"
360410108,HOU,E," White (1, catch)"
360410108,HOU,DP," 2 (Castro-González-Altuve, Altuve-Correa-White)"
360410108,MIL,E," Blazek (1, throw)"
360410107,MIN,E," May (1, throw)"
360410107,KC,E," Cain (1, bobble); Gee (1, throw)"
360410103,TEX,E," Desmond (1, bobble)"
360410103,TEX,DP," 3 (Beltré-Moreland, Andrus-Alberto-Moreland, Alberto-Andrus-Moreland)"
360410103,LAA,DP, 1 (Simmons-Cron)
360410126,LAD,DP, 1 (Utley-Seager)
360410112,OAK,E," Lowrie (3, ground ball)"
360410112,OAK,DP, 1 (Lowrie-Semien-Alonso)
360410127,SD,DP, 1 (Ramírez-Spangenberg-Myers)
360410127,COL,E," Parra (1, bobble)"
360410129,ARI,DP, 1 (Segura-Goldschmidt)
360411106,PIT,E," Mercer (2, ground ball)"
360411106,PIT,DP," 3 (Mercer-Harrison-Jaso, Harrison-Mercer-Jaso, Freese-Rodriguez)"
360411106,DET,DP," 4 (McCann-Kinsler, Iglesias-Kinsler-Cabrera, Cabrera-Iglesias-Kensing, Kinsler-Iglesias-Cabrera)"
360411102,BAL,E," Joseph (1, throw); Trumbo (1, fly ball)"
360411102,BAL,DP," 2 (Machado-Schoop-Davis, Schoop-Hardy-Davis)"
360411102,BOS,DP, 1 (Holt-Pedroia)
360411102,BOS,Assists, Holt (Schoop at 2nd base)
360411122,SD,DP," 3 (Wallace, Ramírez-Amarista, Ramírez-Myers)"
360411122,PHI,DP, 1 (Galvis-C. Hernández-Ruf)
360411109,CHW,DP," 2 (Lawrie-Rollins-Abreu, Albers-Abreu)"
360411109,MIN,E," Escobar (3, throw)"
360411124,MIL,E," Carter (1, missed catch)"
360411124,MIL,DP, 1 (Villar-Gennett-Lucroy)
360411124,STL,DP, 1 (Wacha-Wong-Holliday)
360411121,MIA,E," Gordon (1, ground ball)"
360411121,MIA,DP, 1 (Cosart-Hechavarría-Gordon)
360411121,NYM,Assists, Granderson (Prado at 2nd base)
360411120,ATL,E," García (2, throw)"
360411120,WSH,DP, 1 (Espinosa-Murphy-Zimmerman)
360411116,CIN,E," Suárez (3, ground ball)"
360411116,CIN,PB, Mesoraco
360411116,CHC,DP, 1 (Zobrist-Russell-Rizzo)
360411118,KC,Assists, Fuentes (Springer at 3rd base)
360411118,HOU,DP," 2 (White-Correa-McHugh, Altuve-Correa-White)"
