last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Yarbrough, Ryan,642232,2021,653,500,.267,.270,-0.003,.457,.433,0.024,.325,.323,0.002,5.11,4.51,0.60
Shaw, Bryan,543766,2021,334,224,.235,.245,-0.010,.388,.388,0.000,.313,.322,-0.009,3.49,4.48,-0.99
Ober, Bailey,641927,2021,379,263,.258,.247,0.011,.489,.449,0.040,.330,.322,0.008,4.19,4.48,-0.29
Gutierrez, Vladimir,661269,2021,496,357,.263,.246,0.017,.469,.410,0.059,.344,.322,0.022,4.74,4.48,0.26
Guerra, Junior,448855,2021,307,197,.262,.237,0.025,.379,.342,0.037,.338,.322,0.016,6.06,4.48,1.58
Diekman, Jake,518617,2021,262,141,.211,.216,-0.005,.390,.389,0.001,.312,.321,-0.009,3.86,4.45,-0.59
Williams, Trevor,592866,2021,405,280,.287,.260,0.027,.462,.410,0.052,.347,.321,0.026,4.35,4.45,-0.10
Ryu, Hyun Jin,547943,2021,701,519,.258,.262,-0.004,.435,.432,0.003,.313,.321,-0.008,4.37,4.45,-0.08
Kim, Kwang Hyun,547942,2021,452,329,.242,.251,-0.009,.373,.410,-0.037,.300,.320,-0.020,3.46,4.42,-0.96
Hill, Rich,448179,2021,661,440,.235,.236,-0.001,.402,.404,-0.002,.313,.320,-0.007,3.86,4.42,-0.56
Kaprielian, James,621076,2021,502,333,.233,.235,-0.002,.430,.426,0.004,.314,.320,-0.006,4.07,4.42,-0.35
Greinke, Zack,425844,2021,697,539,.252,.264,-0.012,.434,.426,0.008,.309,.320,-0.011,4.16,4.42,-0.26
McKenzie, Triston,663474,2021,495,298,.194,.226,-0.032,.383,.403,-0.020,.296,.320,-0.024,4.95,4.42,0.53
Minor, Mike,501985,2021,669,474,.252,.243,0.009,.447,.442,0.005,.321,.320,0.001,5.05,4.42,0.63
Brentz, Jake,641394,2021,278,158,.197,.218,-0.021,.345,.363,-0.018,.296,.319,-0.023,3.66,4.39,-0.73
Ruiz, José,614179,2021,271,183,.210,.240,-0.030,.366,.413,-0.047,.281,.318,-0.037,3.05,4.36,-1.31
Senzatela, Antonio,622608,2021,670,524,.287,.270,0.017,.421,.410,0.011,.323,.318,0.005,4.42,4.36,0.06
Stroman, Marcus,573186,2021,730,521,.242,.260,-0.018,.362,.411,-0.049,.284,.317,-0.033,3.02,4.33,-1.31
Hernández, Carlos,672578,2021,358,239,.223,.233,-0.010,.332,.384,-0.052,.291,.317,-0.026,3.68,4.33,-0.65
Bumgarner, Madison,518516,2021,613,439,.242,.242,0.000,.439,.422,0.017,.315,.317,-0.002,4.67,4.33,0.34
Norris, Daniel,596057,2021,248,158,.256,.230,0.026,.428,.381,0.047,.340,.317,0.023,6.16,4.33,1.83
Funkhouser, Kyle,608335,2021,298,194,.229,.236,-0.007,.340,.350,-0.010,.303,.316,-0.013,3.42,4.30,-0.88
Anderson, Ian,666120,2021,535,357,.221,.237,-0.016,.371,.406,-0.035,.293,.316,-0.023,3.58,4.30,-0.72
Ynoa, Huascar,660623,2021,372,243,.224,.247,-0.023,.418,.423,-0.005,.299,.316,-0.017,4.05,4.30,-0.25
Patiño, Luis,672715,2021,333,227,.232,.240,-0.008,.393,.414,-0.021,.300,.316,-0.016,4.31,4.30,0.01
Estévez, Carlos,608032,2021,270,187,.293,.255,0.038,.455,.410,0.045,.345,.316,0.029,4.38,4.30,0.08
Peacock, Matt,676840,2021,386,307,.304,.266,0.038,.494,.409,0.085,.357,.316,0.041,4.90,4.30,0.60
Melancon, Mark,453343,2021,265,180,.228,.260,-0.032,.316,.379,-0.063,.270,.315,-0.045,2.23,4.27,-2.04
Trivino, Lou,642152,2021,310,204,.216,.229,-0.013,.310,.385,-0.075,.279,.315,-0.036,3.18,4.27,-1.09
Flexen, Chris,623167,2021,741,572,.268,.257,0.011,.414,.420,-0.006,.311,.315,-0.004,3.61,4.27,-0.66
Alexander, Tyler,641302,2021,451,332,.255,.248,0.007,.429,.423,0.006,.315,.315,0.000,3.81,4.27,-0.46
Petit, Yusmeiro,433589,2021,313,263,.233,.260,-0.027,.395,.441,-0.046,.280,.315,-0.035,3.92,4.27,-0.35
Duffy, Danny,518633,2021,252,165,.226,.245,-0.019,.357,.410,-0.053,.284,.314,-0.030,2.51,4.24,-1.73
Ross, Joe,605452,2021,460,309,.237,.244,-0.007,.402,.404,-0.002,.305,.314,-0.009,4.17,4.24,-0.07
Bard, Daniel,453268,2021,304,181,.265,.232,0.033,.431,.349,0.082,.350,.314,0.036,5.21,4.24,0.97
Rodríguez, Richard,593144,2021,251,197,.209,.242,-0.033,.372,.460,-0.088,.264,.313,-0.049,2.94,4.21,-1.27
Castro, Miguel,612434,2021,303,177,.189,.210,-0.021,.299,.344,-0.045,.286,.313,-0.027,3.45,4.21,-0.76
Anderson, Tyler,542881,2021,703,530,.262,.257,0.005,.452,.420,0.032,.319,.313,0.006,4.53,4.21,0.32
Cisnero, José,542585,2021,265,168,.226,.225,0.001,.345,.373,-0.028,.300,.312,-0.012,3.65,4.18,-0.53
Boyd, Matthew,571510,2021,337,240,.255,.241,0.014,.397,.401,-0.004,.311,.312,-0.001,3.89,4.18,-0.29
Chacín, Jhoulys,468504,2021,269,194,.222,.239,-0.017,.406,.380,0.026,.306,.312,-0.006,4.34,4.18,0.16
Houser, Adrian,605288,2021,599,420,.228,.237,-0.009,.340,.355,-0.015,.297,.311,-0.014,3.22,4.15,-0.93
Miley, Wade,489119,2021,690,512,.265,.251,0.014,.408,.393,0.015,.317,.311,0.006,3.37,4.15,-0.78
Crismatt, Nabil,622503,2021,351,248,.274,.248,0.026,.420,.390,0.030,.330,.311,0.019,3.76,4.15,-0.39
Alvarado, José,621237,2021,251,129,.213,.199,0.014,.325,.297,0.028,.322,.311,0.011,4.20,4.15,0.05
Freeland, Kyle,607536,2021,515,368,.284,.243,0.041,.471,.405,0.066,.349,.311,0.038,4.33,4.15,0.18
Smith, Caleb,592761,2021,500,306,.217,.214,0.003,.401,.377,0.024,.317,.311,0.006,4.83,4.15,0.68
Montgomery, Jordan,656756,2021,661,446,.250,.247,0.003,.380,.401,-0.021,.299,.310,-0.011,3.83,4.12,-0.29
Tate, Dillon,622253,2021,287,208,.245,.235,0.010,.394,.360,0.034,.310,.310,-0.000,4.39,4.12,0.27
Jackson, Luke,592426,2021,261,160,.198,.226,-0.028,.317,.379,-0.062,.270,.309,-0.039,1.98,4.09,-2.11
Berríos, José,621244,2021,781,517,.223,.239,-0.016,.380,.399,-0.019,.286,.309,-0.023,3.52,4.09,-0.57
Suarez, José,660761,2021,413,288,.230,.247,-0.017,.382,.375,0.007,.299,.309,-0.010,3.75,4.09,-0.34
Kluber, Corey,446372,2021,341,221,.247,.238,0.009,.375,.369,0.006,.310,.309,0.001,3.83,4.09,-0.26
Manaea, Sean,640455,2021,754,510,.255,.246,0.009,.415,.410,0.005,.310,.309,0.001,3.91,4.09,-0.18
Gomber, Austin,596295,2021,488,331,.232,.236,-0.004,.420,.406,0.014,.309,.309,0.000,4.53,4.09,0.44
Gilbert, Logan,669302,2021,503,341,.241,.240,0.001,.425,.421,0.004,.305,.309,-0.004,4.68,4.09,0.59
Means, John,607644,2021,590,426,.224,.239,-0.015,.427,.433,-0.006,.294,.308,-0.014,3.62,4.06,-0.44
Matz, Steven,571927,2021,647,454,.265,.251,0.014,.405,.389,0.016,.315,.308,0.007,3.82,4.06,-0.24
Germán, Domingo,593334,2021,410,283,.234,.235,-0.001,.426,.413,0.013,.306,.308,-0.002,4.58,4.06,0.52
Stanek, Ryne,592773,2021,290,165,.186,.203,-0.017,.312,.381,-0.069,.276,.307,-0.031,3.42,4.03,-0.61
Price, David,456034,2021,326,237,.272,.252,0.020,.428,.373,0.055,.329,.307,0.022,4.03,4.03,-0.00
Steele, Justin,657006,2021,248,157,.233,.224,0.009,.437,.363,0.074,.332,.307,0.025,4.26,4.03,0.23
Márquez, Germán,608566,2021,756,511,.242,.246,-0.004,.389,.382,0.007,.303,.306,-0.003,4.40,4.01,0.39
Heaney, Andrew,571760,2021,558,360,.256,.227,0.029,.487,.409,0.078,.341,.306,0.035,5.83,4.01,1.82
Garcia, Luis,677651,2021,633,413,.232,.235,-0.003,.393,.390,0.003,.297,.305,-0.008,3.48,3.98,-0.50
Montas, Frankie,593423,2021,778,506,.232,.234,-0.002,.372,.395,-0.023,.290,.304,-0.014,3.37,3.95,-0.58
Cobb, Alex,502171,2021,393,259,.240,.252,-0.012,.336,.351,-0.015,.286,.304,-0.018,3.76,3.95,-0.19
Gray, Jon,592351,2021,644,421,.245,.233,0.012,.420,.373,0.047,.320,.304,0.016,4.59,3.95,0.64
DeSclafani, Anthony,543101,2021,676,480,.225,.240,-0.015,.358,.402,-0.044,.276,.303,-0.027,3.17,3.92,-0.75
Lauer, Eric,641778,2021,489,329,.215,.229,-0.014,.356,.389,-0.033,.280,.303,-0.023,3.19,3.92,-0.73
Thielbar, Caleb,573204,2021,266,166,.232,.219,0.013,.401,.412,-0.011,.300,.303,-0.003,3.23,3.92,-0.69
Pop, Zach,647315,2021,246,163,.254,.229,0.025,.362,.340,0.022,.316,.303,0.013,4.12,3.92,0.20
Gallen, Zac,668678,2021,523,330,.233,.227,0.006,.413,.373,0.040,.313,.303,0.010,4.30,3.92,0.38
Taillon, Jameson,592791,2021,603,413,.238,.228,0.010,.422,.393,0.029,.309,.303,0.006,4.30,3.92,0.38
Quantrill, Cal,615698,2021,616,439,.234,.237,-0.003,.373,.376,-0.003,.296,.302,-0.006,2.89,3.89,-1.00
Musgrove, Joe,605397,2021,748,473,.213,.233,-0.020,.364,.380,-0.016,.284,.302,-0.018,3.18,3.89,-0.71
Chapman, Aroldis,547973,2021,243,105,.182,.174,0.008,.359,.357,0.002,.300,.302,-0.002,3.36,3.89,-0.53
Sborz, Josh,622250,2021,257,156,.234,.224,0.010,.383,.357,0.026,.310,.302,0.008,3.97,3.89,0.08
Heuer, Codi,676051,2021,281,200,.261,.250,0.011,.406,.379,0.027,.313,.302,0.011,4.28,3.89,0.39
Staumont, Josh,622251,2021,264,163,.183,.219,-0.036,.294,.379,-0.085,.254,.301,-0.047,2.88,3.87,-0.99
Urquidy, José,664353,2021,423,312,.218,.239,-0.021,.406,.422,-0.016,.282,.301,-0.019,3.62,3.87,-0.25
Hill, Tim,657612,2021,255,170,.230,.228,0.002,.387,.377,0.010,.301,.301,-0.000,3.62,3.87,-0.25
Gibson, Kyle,502043,2021,754,527,.234,.239,-0.005,.363,.363,0.000,.293,.301,-0.008,3.71,3.87,-0.16
Wood, Alex,622072,2021,585,378,.236,.235,0.001,.372,.367,0.005,.298,.301,-0.003,3.83,3.87,-0.04
Kinley, Tyler,641755,2021,295,199,.223,.229,-0.006,.424,.383,0.041,.308,.301,0.007,4.73,3.87,0.86
