last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Eovaldi, Nathan,543135,2021,764,527,.253,.237,0.016,.402,.361,0.041,.298,.282,0.016,3.75,3.37,0.38
Steckenrider, Drew,608716,2021,267,188,.214,.227,-0.013,.333,.354,-0.021,.264,.281,-0.017,2.00,3.34,-1.34
Barlow, Scott,605130,2021,306,185,.223,.212,0.011,.328,.348,-0.020,.275,.281,-0.006,2.42,3.34,-0.92
Ohtani, Shohei,660271,2021,533,323,.207,.205,0.002,.351,.338,0.013,.279,.280,-0.001,3.18,3.32,-0.14
Morton, Charlie,450203,2021,756,465,.203,.214,-0.011,.309,.326,-0.017,.264,.280,-0.016,3.34,3.32,0.02
Smith, Will,519293,2021,283,163,.198,.194,0.004,.403,.342,0.061,.297,.280,0.017,3.44,3.32,0.12
Woodruff, Brandon,605540,2021,708,447,.200,.225,-0.025,.317,.348,-0.031,.252,.279,-0.027,2.56,3.29,-0.73
Luetge, Lucas,476595,2021,301,204,.238,.239,-0.001,.359,.351,0.008,.278,.279,-0.001,2.74,3.29,-0.55
Cortes, Nestor,641482,2021,374,244,.217,.210,0.007,.386,.363,0.023,.285,.279,0.006,2.90,3.29,-0.39
Giolito, Lucas,608337,2021,720,465,.219,.218,0.001,.394,.356,0.038,.289,.279,0.010,3.53,3.29,0.24
Darvish, Yu,506433,2021,681,430,.222,.206,0.016,.429,.366,0.063,.301,.279,0.022,4.22,3.29,0.93
Cimber, Adam,643256,2021,286,212,.234,.234,0.000,.310,.334,-0.024,.263,.278,-0.015,2.26,3.27,-1.01
Gray, Sonny,543243,2021,575,361,.225,.213,0.012,.385,.320,0.065,.299,.277,0.022,4.19,3.24,0.95
Webb, Logan,657277,2021,596,394,.234,.228,0.006,.332,.327,0.005,.274,.276,-0.002,3.03,3.22,-0.19
Houck, Tanner,656557,2021,285,171,.223,.211,0.012,.313,.331,-0.018,.271,.276,-0.005,3.52,3.22,0.30
Kershaw, Clayton,477132,2021,488,319,.224,.219,0.005,.374,.368,0.006,.274,.274,-0.000,3.55,3.17,0.38
Sulser, Cole,642121,2021,257,161,.207,.206,0.001,.319,.334,-0.015,.264,.273,-0.009,2.70,3.15,-0.45
Green, Chad,643338,2021,315,199,.193,.208,-0.015,.386,.385,0.001,.262,.273,-0.011,3.12,3.15,-0.03
Cole, Gerrit,543037,2021,726,440,.223,.207,0.016,.372,.363,0.009,.276,.273,0.003,3.23,3.15,0.08
