,Cy Young,Cy Young,Cy Young,Cy Young,Cy Young,Cy Young
,AL,AL,NL,NL,AL,NL
,PLAYER,STATS,PLAYER,STATS,Player Id,Player Id
Year,,,,,,
1979,Mike Flanagan,"W-L: 23-9, ERA: 3.08, SV: 0",Bruce Sutter,"W-L: 6-6, ERA: 2.22, SV: 37",928,653
1978,Ron Guidry,"W-L: 25-3, ERA: 1.74, SO: 248",Gaylord Perry,"W-L: 21-6, ERA: 2.73, SO: 154",936,620
1977,Sparky Lyle,"W-L: 13-5, ERA: 2.17, SV: 26",Steve Carlton,"W-L: 23-10, ERA: 2.64, SO: 198",714,526
1976,Jim Palmer,"W-L: 22-13, ERA: 2.51, SO: 159",Randy Jones,"W-L: 22-14, ERA: 2.74, SO: 93",980,569
1975,Jim Palmer,"W-L: 23-11, ERA: 2.09, SO: 193",Tom Seaver,"W-L: 22-9, ERA: 2.38, SO: 243",980,645
1974,Catfish Hunter,"W-L: 25-12, ERA: 2.49, SO: 143",Mike Marshall,"W-L: 15-12, ERA: 2.42, SV: 21",23207,845
1973,Jim Palmer,"W-L: 22-9, ERA: 2.40, SO: 158",Tom Seaver,"W-L: 19-10, ERA: 2.08, SO: 251",980,645
1972,Gaylord Perry,"W-L: 24-16, ERA: 1.92, SO: 234",Steve Carlton,"W-L: 27-10, ERA: 1.97, SO: 310",620,526
1971,Vida Blue,"W-L: 24-8, ERA: 1.82, SO: 301",Fergie Jenkins,"W-L: 24-13, ERA: 2.77, SO: 263",518,946
1970,Jim Perry,"W-L: 24-12, ERA: 3.04, SO: 168",Bob Gibson,"W-L: 23-7, ERA: 3.12, SO: 274",26225,22014
1969,Mike Cuellar,"W-L: 23-11, ERA: 2.38, SO: 182",Tom Seaver,"W-L: 25-7, ERA: 2.21, SO: 208",20628,645
1969,Denny McLain,"W-L: 24-9, ERA: 2.80, SO: 181",,,25029,
1968,Denny McLain,"W-L: 31-6, ERA: 1.96, SO: 280",Bob Gibson,"W-L: 22-9, ERA: 1.12, SO: 268",25029,22014
1967,Jim Lonborg,"W-L: 22-9, ERA: 3.16, SO: 246",Mike McCormick,"W-L: 22-10, ERA: 2.85, SO: 150",24350,24880
ONE AWARD FOR BOTH LEAGUES,ONE AWARD FOR BOTH LEAGUES,ONE AWARD FOR BOTH LEAGUES,ONE AWARD FOR BOTH LEAGUES,ONE AWARD FOR BOTH LEAGUES,,
1966,Sandy Koufax,"W-L: 27-9, ERA: 1.73, SO: 317","W-L: 27-9, ERA: 1.73, SO: 317","W-L: 27-9, ERA: 1.73, SO: 317",23910,
1965,Sandy Koufax,"W-L: 26-8, ERA: 2.04, SO: 382","W-L: 26-8, ERA: 2.04, SO: 382","W-L: 26-8, ERA: 2.04, SO: 382",23910,
1964,Dean Chance,"W-L: 20-9, ERA: 1.65, SO: 207","W-L: 20-9, ERA: 1.65, SO: 207","W-L: 20-9, ERA: 1.65, SO: 207",20057,
1963,Sandy Koufax,"W-L: 25-5, ERA: 1.88, SO: 306","W-L: 25-5, ERA: 1.88, SO: 306","W-L: 25-5, ERA: 1.88, SO: 306",23910,
1962,Don Drysdale,"W-L: 25-9, ERA: 2.83, SO: 232","W-L: 25-9, ERA: 2.83, SO: 232","W-L: 25-9, ERA: 2.83, SO: 232",21134,
1961,Whitey Ford,"W-L: 25-4, ERA: 3.21, SO: 209","W-L: 25-4, ERA: 3.21, SO: 209","W-L: 25-4, ERA: 3.21, SO: 209",21678,
1960,Vern Law,"W-L: 20-9, ERA: 3.08, SO: 120","W-L: 20-9, ERA: 3.08, SO: 120","W-L: 20-9, ERA: 3.08, SO: 120",24115,
1959,Early Wynn,"W-L: 22-10, ERA: 3.17, SO: 179","W-L: 22-10, ERA: 3.17, SO: 179","W-L: 22-10, ERA: 3.17, SO: 179",28318,
1958,Bob Turley,"W-L: 21-7, ERA: 2.97, SO: 168","W-L: 21-7, ERA: 2.97, SO: 168","W-L: 21-7, ERA: 2.97, SO: 168",18628,
1957,Warren Spahn,"W-L: 21-11, ERA: 2.69, SO: 111","W-L: 21-11, ERA: 2.69, SO: 111","W-L: 21-11, ERA: 2.69, SO: 111",17912,
1956,Don Newcombe,"W-L: 27-7, ERA: 3.06, SO: 139","W-L: 27-7, ERA: 3.06, SO: 139","W-L: 27-7, ERA: 3.06, SO: 139",25741,
